date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:14:51	114/114	---M-Z	200	added ('OK')	text/plain	etag:%2240236-1673770474;gz%22	https://pablomarcal.com.br/robots.txt		(from )
11:14:52	134835/134835	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Jan%202023%2014:14:53%20GMT	https://pablomarcal.com.br/af/?xa=6302	C:/Meus%20Sites/pablomarcal/pablomarcal.com.br/af/indexa0ed.html	(from )
11:14:53	48341/48341	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Dec%202022%2010:12:06%20GMT	https://pablomarcal.com.br/wp-content/uploads/2022/12/bg_pior_ano_novo.jpg	C:/Meus%20Sites/pablomarcal/pablomarcal.com.br/wp-content/uploads/2022/12/bg_pior_ano_novo.jpg	(from https://pablomarcal.com.br/af/?xa=6302)
11:14:53	71623/71623	---M--	200	added ('OK')	image/png	date:Tue,%2006%20Dec%202022%2011:00:36%20GMT	https://pablomarcal.com.br/wp-content/uploads/2022/12/faixa_x_pior_ano.png	C:/Meus%20Sites/pablomarcal/pablomarcal.com.br/wp-content/uploads/2022/12/faixa_x_pior_ano.png	(from https://pablomarcal.com.br/af/?xa=6302)
11:14:53	84723/84723	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20Jan%202023%2003:08:43%20GMT	https://pablomarcal.com.br/wp-content/litespeed/ucss/e9163f83a1e26991e709e01f57f9a61a.css?ver=85cb4	C:/Meus%20Sites/pablomarcal/pablomarcal.com.br/wp-content/litespeed/ucss/e9163f83a1e26991e709e01f57f9a61abf6c.css	(from https://pablomarcal.com.br/af/?xa=6302)
11:14:53	1353/1353	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2014%20Dec%202022%2015:43:37%20GMT	https://pablomarcal.com.br/wp-content/plugins/litespeed-cache/assets/js/css_async.min.js	C:/Meus%20Sites/pablomarcal/pablomarcal.com.br/wp-content/plugins/litespeed-cache/assets/js/css_async.min.js	(from https://pablomarcal.com.br/af/?xa=6302)
11:14:54	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2015%20Jan%202023%2014:14:55%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Meus%20Sites/pablomarcal/www.googletagmanager.com/gtm.45445.delayed	(from https://pablomarcal.com.br/af/?xa=6302)
11:14:54	607/607	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Nov%202022%2014:25:33%20GMT	https://pablomarcal.com.br/wp-content/uploads/2022/11/cropped-Marcal_favicon-32x32.png	C:/Meus%20Sites/pablomarcal/pablomarcal.com.br/wp-content/uploads/2022/11/cropped-Marcal_favicon-32x32.png	(from https://pablomarcal.com.br/af/?xa=6302)
11:14:54	136990/136990	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Jan%202023%2014:14:55%20GMT	https://pablomarcal.com.br/af/	C:/Meus%20Sites/pablomarcal/pablomarcal.com.br/af/index.html	(from https://pablomarcal.com.br/af/?xa=6302)
11:14:54	3397/3397	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Nov%202022%2014:25:33%20GMT	https://pablomarcal.com.br/wp-content/uploads/2022/11/cropped-Marcal_favicon-192x192.png	C:/Meus%20Sites/pablomarcal/pablomarcal.com.br/wp-content/uploads/2022/11/cropped-Marcal_favicon-192x192.png	(from https://pablomarcal.com.br/af/?xa=6302)
11:14:54	3257/3257	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Nov%202022%2014:25:33%20GMT	https://pablomarcal.com.br/wp-content/uploads/2022/11/cropped-Marcal_favicon-180x180.png	C:/Meus%20Sites/pablomarcal/pablomarcal.com.br/wp-content/uploads/2022/11/cropped-Marcal_favicon-180x180.png	(from https://pablomarcal.com.br/af/?xa=6302)
11:14:55	11224/11224	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2018%20Nov%202020%2017:36:06%20GMT	https://pablomarcal.com.br/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/Meus%20Sites/pablomarcal/pablomarcal.com.br/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://pablomarcal.com.br/af/)
11:14:55	8326/8326	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2003%20Nov%202022%2022:40:25%20GMT	https://pablomarcal.com.br/wp-content/plugins/form-masks-for-elementor/assets/lib/jquery.mask.js?ver=1.6.2	C:/Meus%20Sites/pablomarcal/pablomarcal.com.br/wp-content/plugins/form-masks-for-elementor/assets/lib/jquery.mask1f22.js	(from https://pablomarcal.com.br/af/)
11:14:55	1323/1323	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2003%20Nov%202022%2022:40:25%20GMT	https://pablomarcal.com.br/wp-content/plugins/form-masks-for-elementor/assets/js/elementor-mask.js?ver=1.6.2	C:/Meus%20Sites/pablomarcal/pablomarcal.com.br/wp-content/plugins/form-masks-for-elementor/assets/js/elementor-mask1f22.js	(from https://pablomarcal.com.br/af/)
11:14:55	3164/3164	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2003%20Nov%202022%2019:07:44%20GMT	https://pablomarcal.com.br/wp-content/themes/hello-elementor/assets/js/hello-frontend.min.js?ver=1.0.0	C:/Meus%20Sites/pablomarcal/pablomarcal.com.br/wp-content/themes/hello-elementor/assets/js/hello-frontend.min8a54.js	(from https://pablomarcal.com.br/af/)
11:14:56	5234/5234	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2003%20Nov%202022%2019:32:43%20GMT	https://pablomarcal.com.br/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.min.js?ver=3.8.0	C:/Meus%20Sites/pablomarcal/pablomarcal.com.br/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.min9e95.js	(from https://pablomarcal.com.br/af/)
11:14:56	4957/4957	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2002%20Jan%202023%2011:29:21%20GMT	https://pablomarcal.com.br/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.9.2	C:/Meus%20Sites/pablomarcal/pablomarcal.com.br/wp-content/plugins/elementor/assets/js/webpack.runtime.min2e46.js	(from https://pablomarcal.com.br/af/)
11:14:56	31522/31522	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2002%20Jan%202023%2011:29:21%20GMT	https://pablomarcal.com.br/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.9.2	C:/Meus%20Sites/pablomarcal/pablomarcal.com.br/wp-content/plugins/elementor/assets/js/frontend-modules.min2e46.js	(from https://pablomarcal.com.br/af/)
11:14:56	6475/6475	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2011%20Apr%202022%2020:34:30%20GMT	https://pablomarcal.com.br/wp-includes/js/dist/vendor/regenerator-runtime.min.js?ver=0.13.9	C:/Meus%20Sites/pablomarcal/pablomarcal.com.br/wp-includes/js/dist/vendor/regenerator-runtime.min3937.js	(from https://pablomarcal.com.br/af/)
11:14:56	17823/17823	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2003%20Nov%202022%2018:39:50%20GMT	https://pablomarcal.com.br/wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=3.15.0	C:/Meus%20Sites/pablomarcal/pablomarcal.com.br/wp-includes/js/dist/vendor/wp-polyfill.min2c7c.js	(from https://pablomarcal.com.br/af/)
11:14:57	4910/4910	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2011%20Apr%202022%2020:34:30%20GMT	https://pablomarcal.com.br/wp-includes/js/dist/hooks.min.js?ver=4169d3cf8e8d95a3d6d5	C:/Meus%20Sites/pablomarcal/pablomarcal.com.br/wp-includes/js/dist/hooks.min6c65.js	(from https://pablomarcal.com.br/af/)
11:14:57	10230/10230	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2003%20Nov%202022%2018:39:49%20GMT	https://pablomarcal.com.br/wp-includes/js/dist/i18n.min.js?ver=9e794f35a71bb98672ae	C:/Meus%20Sites/pablomarcal/pablomarcal.com.br/wp-includes/js/dist/i18n.mine57b.js	(from https://pablomarcal.com.br/af/)
11:14:57	21667/21667	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2003%20Nov%202022%2019:32:43%20GMT	https://pablomarcal.com.br/wp-content/plugins/elementor-pro/assets/js/frontend.min.js?ver=3.8.0	C:/Meus%20Sites/pablomarcal/pablomarcal.com.br/wp-content/plugins/elementor-pro/assets/js/frontend.min9e95.js	(from https://pablomarcal.com.br/af/)
11:14:57	12198/12198	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2006%20Dec%202022%2021:34:51%20GMT	https://pablomarcal.com.br/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2	C:/Meus%20Sites/pablomarcal/pablomarcal.com.br/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min05da.js	(from https://pablomarcal.com.br/af/)
